unix_time,cpu_percent,ram_percent
1695125867963,11.36,21.89
1695125869974,15.57,21.91
1695125871986,69.79,22.01
1695125874008,92.29,22.01
1695125876064,95.11,22.03
1695125878093,93.31,21.95
1695125880116,92.41,22.02
1695125882129,93.56,22.03
1695125884146,94.31,22.10
1695125886172,98.12,22.04
1695125888248,94.35,22.06
1695125890335,91.41,22.06
1695125892352,92.48,22.03
1695125894389,96.93,22.26
1695125896422,100,22.38
1695125898481,100,22.52
1695125900505,100,22.55
1695125902536,100,22.64
1695125904588,100,22.68
1695125906611,99.94,22.74
1695125908692,100,22.76
1695125910712,100,22.81
1695125912761,100,22.86
1695125914834,100,23.07
1695125916857,100,22.98
1695125918889,100,23.09
1695125920909,100,23.19
1695125922933,100,23.15
1695125924957,100,23.18
1695125926988,98.69,23.18
1695125929024,99.88,23.15
1695125931097,100,23.30
1695125933120,100,23.49
1695125935149,100,23.69
1695125937173,100,23.60
1695125939196,100,23.69
1695125941242,100,23.68
1695125943261,100,23.92
1695125945292,100,24.01
1695125947320,100,23.87
1695125949348,100,23.82
1695125951388,100,24.01
1695125953421,100,24.10
1695125955456,100,24.39
1695125957474,100,24.25
1695125959513,100,24.32
1695125961536,100,24.39
1695125963560,100,24.48
1695125965585,100,24.63
1695125967661,100,24.58
1695125969684,100,24.56
1695125971699,100,24.64
1695125973784,100,24.75
1695125975805,100,24.83
1695125977827,100,24.80
1695125979857,100,24.76
1695125981882,100,24.86
1695125983916,100,25.09
1695125985964,100,25.05
1695125987984,100,25.04
1695125990011,100,24.90
1695125992044,100,25.10
1695125994068,100,25.42
1695125996088,100,25.46
1695125998156,100,25.40
1695126000185,100,25.33
1695126002216,100,25.31
1695126004240,100,25.63
1695126006310,100,25.60
1695126008336,100,25.52
1695126010372,100,25.44
1695126012446,100,25.58
1695126014476,100,25.87
1695126016516,100,25.86
1695126018580,100,25.67
1695126020608,100,25.64
1695126022660,100,25.65
1695126024680,100,25.93
1695126026704,100,25.85
1695126028727,100,25.82
1695126030750,100,25.71
1695126032768,100,25.79
1695126034789,100,26.15
1695126036820,100,26.06
1695126038841,100,26.13
1695126040869,100,26.00
1695126042899,100,25.91
1695126044961,100,26.17
1695126046979,100,26.10
1695126048997,100,26.11
1695126051034,100,25.98
1695126053112,100,26.00
1695126055145,100,26.28
1695126057170,100,26.32
1695126059196,100,26.27
1695126061221,100,26.05
1695126063248,100,26.15
1695126065316,100,26.44
1695126067345,100,26.33
1695126069410,100,26.24
1695126071446,100,26.02
1695126073561,100,26.14
1695126075620,100,26.37
1695126077656,100,26.29
1695126079765,100,26.23
1695126081788,100,26.09
1695126083871,100,26.42
1695126085892,100,26.49
1695126087978,100,26.40
1695126090004,100,26.16
1695126092028,100,26.13
1695126094052,100,26.40
1695126096072,100,26.47
1695126098090,100,26.33
1695126100173,100,26.18
1695126102229,100,26.16
1695126104264,100,26.46
1695126106293,100,26.40
1695126108350,100,26.35
1695126110372,100,26.25
1695126112400,100,26.21
1695126114417,100,26.53
1695126116493,100,26.54
1695126118522,100,26.44
1695126120540,100,26.28
1695126122563,100,26.25
1695126124628,100,26.47
1695126126652,100,26.44
1695126128680,100,26.39
1695126130708,100,26.33
1695126132731,100,26.32
1695126134756,100,26.73
1695126136821,100,26.64
1695126138941,100,26.59
1695126140971,100,26.41
1695126142997,100,26.22
1695126145013,100,26.56
1695126147033,100,26.43
1695126149060,100,26.43
1695126151104,100,26.24
1695126153124,100,26.33
1695126155156,100,26.54
1695126157202,100,26.57
1695126159263,100,26.42
1695126161297,100,26.32
1695126163321,100,26.40
1695126165341,100,26.65
1695126167360,100,26.64
1695126169416,100,26.51
1695126171488,100,26.34
1695126173515,100,26.50
1695126175542,100,26.78
1695126177565,100,26.50
1695126179599,100,26.42
1695126181627,100,26.40
1695126183684,100,26.53
1695126185700,100,26.64
1695126187717,100,26.52
1695126189776,100,26.45
1695126191841,100,26.46
1695126193868,100,26.62
1695126195893,100,26.70
1695126197913,100,26.62
1695126199984,100,26.46
1695126202021,100,26.40
1695126204088,100,26.52
1695126206113,100,26.58
1695126208133,100,26.57
1695126210156,100,26.47
1695126212197,100,26.46
1695126214222,100,26.76
1695126216241,100,26.71
1695126218257,100,26.71
1695126220296,100,26.56
1695126222325,100,26.41
1695126224341,100,26.74
1695126226364,100,26.67
1695126228404,100,26.47
1695126230481,100,26.45
1695126232508,100,26.34
1695126234538,100,26.71
1695126236600,100,26.66
1695126238676,100,26.55
1695126240700,100,26.43
1695126242724,100,26.34
1695126244748,100,26.66
1695126246770,100,26.68
1695126248800,100,26.50
1695126250829,100,26.39
1695126252860,100,26.39
1695126254940,100,26.64
1695126256968,100,26.67
1695126259059,100,26.50
1695126261115,100,26.43
1695126263141,100,26.50
1695126265163,100,26.79
1695126267241,100,26.72
1695126269268,100,26.64
1695126271288,100,26.41
1695126273342,100,26.41
1695126275384,100,26.74
1695126277416,100,26.58
1695126279435,100,26.53
1695126281461,100,26.36
1695126283493,100,26.53
1695126285533,100,26.76
1695126287592,100,26.65
1695126289656,100,26.46
1695126291691,100,26.35
1695126293712,100,26.49
1695126295733,100,26.65
1695126297756,100,26.53
1695126299782,100,26.60
1695126301868,100,26.44
1695126303909,100,26.65
1695126305936,100,26.74
1695126307960,100,26.68
1695126309998,100,26.48
1695126312021,100,26.40
1695126314041,100,26.69
1695126316066,100,26.65
1695126318092,100,26.51
1695126320154,100,26.47
1695126322176,100,26.33
1695126324212,100,26.74
1695126326233,100,26.79
1695126328255,100,26.62
1695126330304,100,26.45
1695126332321,100,26.40
1695126334343,100,26.69
1695126336376,100,26.63
1695126338432,100,26.47
1695126340476,100,26.47
1695126342504,100,26.51
1695126344561,100,26.78
1695126346580,100,26.83
1695126348656,100,26.65
1695126350674,100,26.41
1695126352715,100,26.49
1695126354741,100,26.74
1695126356807,100,26.75
1695126358832,100,26.70
1695126360864,100,26.53
1695126362912,100,26.62
1695126364944,100,26.86
1695126366971,100,26.84
1695126369015,100,26.57
1695126371041,100,26.48
1695126373063,100,26.38
1695126375096,100,26.70
1695126377189,100,26.49
1695126379250,100,26.58
1695126381281,100,26.50
1695126383303,100,26.53
1695126385328,100,26.81
1695126387388,100,26.75
1695126389414,100,26.73
1695126391441,100,26.46
1695126393473,100,26.54
1695126395521,100,26.79
1695126397548,100,26.65
1695126399608,100,26.54
1695126401629,100,26.46
1695126403652,100,26.65
1695126405682,100,26.81
1695126407790,100,26.66
1695126409813,100,26.66
1695126411878,100,26.54
1695126413927,100,26.76
1695126415955,100,26.78
1695126417984,100,26.61
1695126420010,100,26.53
1695126422033,100,26.48
1695126424064,100,26.72
1695126426088,100,26.75
1695126428106,100,26.51
1695126430176,100,26.48
1695126432203,100,26.43
1695126434256,100,26.74
1695126436292,100,26.66
1695126438316,100,26.56
1695126440481,100,26.55
1695126442502,100,26.56
1695126444523,100,26.79
1695126446582,100,26.77
1695126448650,100,26.71
1695126450685,100,26.57
1695126452712,100,26.48
1695126454736,100,26.74
1695126456757,100,26.66
1695126458797,100,26.61
1695126460853,100,26.46
1695126462884,100,26.41
1695126464905,100,26.67
1695126466937,100,26.66
1695126468996,100,26.55
1695126471019,100,26.46
1695126473045,100,26.51
1695126475077,100,26.84
1695126477105,100,26.78
1695126479128,100,26.73
1695126481150,100,26.62
1695126483174,100,26.47
1695126485193,100,26.75
1695126487216,100,26.72
1695126489240,100,26.59
1695126491266,100,26.46
1695126493294,100,26.54
1695126495324,100,26.95
1695126497349,100,26.79
1695126499373,100,26.62
1695126501396,100,26.44
1695126503456,100,26.55
1695126505477,100,26.76
1695126507499,100,26.64
1695126509666,100,26.48
1695126511693,100,26.52
1695126513722,100,26.70
1695126515756,100,26.87
1695126517780,100,26.73
1695126519859,100,26.63
1695126521943,100,26.40
1695126524009,100,26.65
1695126526056,100,26.65
1695126528079,100,26.62
1695126530104,100,26.52
1695126532150,100,26.52
1695126534169,100,26.81
1695126536235,100,26.84
1695126538268,100,26.86
1695126540296,100,26.66
1695126542324,100,26.51
1695126544351,100,26.79
1695126546389,100,26.71
1695126548417,100,26.50
1695126550476,100,26.51
1695126552495,100,26.51
1695126554531,100,26.83
1695126556548,100,26.83
1695126558564,100,26.65
1695126560585,100,26.52
1695126562609,100,26.47
1695126564637,100,26.77
1695126566681,100,26.72
1695126568769,100,26.58
1695126570792,100,26.54
1695126572813,100,26.55
1695126574880,100,26.77
1695126576944,100,26.72
1695126578977,100,26.69
1695126581000,100,26.60
1695126583024,100,26.38
1695126585048,100,26.81
1695126587080,100,26.84
1695126589108,100,26.75
1695126591156,100,26.51
1695126593181,100,26.37
1695126595205,100,26.71
1695126597229,100,26.75
1695126599253,100,26.58
1695126601330,100,26.57
1695126603352,100,26.58
1695126605372,100,26.92
1695126607393,100,26.84
1695126609419,100,26.63
1695126611439,100,26.42
1695126613460,100,26.45
