unix_time,cpu_percent,ram_percent
1695050179692,98.18,27.35
1695050181760,98.38,27.37
1695050183802,99.44,27.45
1695050185832,99.12,27.43
1695050187860,98.26,27.45
1695050189892,98.62,27.45
1695050191920,98.94,27.45
1695050193942,97.94,27.46
1695050195965,98.69,27.46
1695050197987,99.56,27.41
1695050200008,98.75,27.44
1695050202036,98.5,27.42
1695050204064,99.12,27.41
1695050206088,98.38,27.45
1695050208108,98.37,27.44
1695050210133,99.44,27.42
1695050212152,98.19,27.44
1695050214172,98.93,27.46
1695050216200,98.44,27.43
1695050218221,98.94,27.44
1695050220244,98.94,27.43
1695050222262,99.12,27.45
1695050224289,98.75,27.43
1695050226312,99.44,27.46
1695050228336,99.81,27.48
1695050230360,99.56,27.45
1695050232375,98.88,27.43
1695050234395,99.5,27.46
1695050236431,99.38,27.46
1695050238456,99.25,27.48
1695050240480,99.38,27.46
1695050242517,99.19,27.48
1695050244537,98.37,27.48
1695050246556,99.5,27.51
1695050248573,99,27.47
1695050250668,99.13,27.45
1695050252692,99.56,27.50
1695050254709,98.38,27.51
1695050256740,99.12,27.49
1695050258763,100,27.50
1695050260786,98.01,27.49
1695050262816,99.62,27.48
1695050264860,99.38,27.49
1695050266891,99.37,27.50
1695050268913,98.94,27.50
1695050270936,98.88,27.53
1695050272972,99.25,27.49
1695050274992,99.69,27.53
1695050277012,98.25,27.52
1695050279040,99.88,27.51
1695050281064,98.81,27.50
1695050283088,98.69,27.51
1695050285120,99.69,27.49
1695050287136,99.25,27.51
1695050289168,99.75,27.55
1695050291188,98.69,27.51
1695050293201,99.31,27.50
1695050295224,99.25,27.52
1695050297260,98.62,27.55
1695050299280,98.94,27.53
1695050301308,99.25,27.54
1695050303328,99.44,27.54
1695050305409,98.87,27.55
1695050307436,98.63,27.52
1695050309513,99.12,27.57
1695050311540,98.69,27.53
1695050313613,98.06,27.55
1695050315637,99.25,27.53
1695050317662,99.25,27.56
1695050319729,98.81,27.52
1695050321749,99.69,27.58
1695050323780,98.69,27.56
1695050325800,98.25,27.57
1695050327828,99.06,27.58
1695050329850,98.81,27.57
1695050331880,98.37,27.57
1695050333912,99.06,27.55
1695050335943,98.75,27.59
1695050337972,98.25,27.61
1695050340025,98.93,27.57
1695050342052,99,27.58
1695050344076,97.75,27.57
1695050346100,99.06,27.61
1695050348128,99.69,27.57
1695050350149,99.25,27.61
1695050352180,98.38,27.62
1695050354218,98.69,27.59
1695050356247,98.19,27.62
1695050358272,99,27.67
1695050360305,98.75,27.61
1695050362328,98.56,27.64
1695050364352,98.94,27.63
1695050366380,98.87,27.62
1695050368392,99.25,27.72
1695050370407,99.94,27.65
1695050372440,98.81,27.67
1695050374482,98.5,27.66
1695050376505,99,27.65
1695050378536,99.94,27.76
1695050380557,99.31,27.74
1695050382587,99.62,27.68
1695050384612,98.81,27.71
1695050386663,98.06,27.65
1695050388682,99.62,27.73
1695050390709,100,27.72
1695050392773,99,27.70
1695050394822,99.31,27.73
1695050396892,98.87,27.76
1695050398905,99,27.81
1695050400935,99.94,27.74
1695050402992,99.19,27.76
1695050405012,98.69,27.73
1695050407029,99.19,27.74
1695050409097,100,27.78
1695050411132,99.81,27.76
1695050413157,99.25,27.74
1695050415192,98.56,27.75
1695050417212,98.94,27.79
1695050419232,100,27.84
1695050421268,99.56,27.76
1695050423295,99.13,27.82
1695050425340,99,27.80
1695050427372,99.06,27.81
1695050429393,99.69,27.84
1695050431433,99.62,27.84
1695050433460,98.19,27.79
1695050435485,99.75,27.81
1695050437513,99.69,27.80
1695050439559,99.88,27.82
1695050441585,99.69,27.82
1695050443613,98.06,27.87
1695050445633,98.56,27.84
1695050447660,99.06,27.82
1695050449688,100,27.90
1695050451722,98.81,27.86
1695050453744,99.56,27.84
1695050455828,99.12,27.86
1695050457852,98.63,27.89
1695050459881,99.94,27.88
1695050461901,99.37,27.88
1695050463921,99.19,27.88
1695050465945,99.12,27.86
1695050467980,99.69,27.94
1695050470025,99.94,27.87
1695050472049,98.81,27.89
1695050474079,98.63,27.89
1695050476093,97.87,27.87
1695050478123,98.81,27.93
1695050480147,99.5,27.92
1695050482172,98.87,27.89
1695050484240,99.37,27.87
1695050486275,98.44,27.87
1695050488289,99.19,27.94
1695050490304,99.87,27.92
1695050492324,99.06,27.89
1695050494348,99.12,27.87
1695050496372,99.44,27.89
1695050498389,99.94,27.94
1695050500421,100,27.93
1695050502447,99.56,27.93
1695050504469,99.75,27.90
1695050506492,99.75,27.90
1695050508516,99.94,28.00
1695050510581,99.5,27.93
1695050512596,99.63,27.96
1695050514624,98.69,27.95
1695050516660,99.69,27.96
1695050518688,100,28.05
1695050520724,99,27.93
1695050522748,99.88,27.97
1695050524772,99.69,27.99
1695050526804,97.07,27.95
1695050528822,99.94,28.10
1695050530852,100,28.20
1695050532888,100,28.37
1695050534912,100,28.45
1695050536944,100,28.76
1695050538972,100,29.23
1695050540993,100,29.63
1695050543016,100,29.63
1695050545044,100,29.73
1695050547072,100,30.07
1695050549093,100,30.17
1695050551127,100,30.55
1695050553204,100,31.06
1695050555237,100,30.33
1695050557257,100,30.04
1695050559278,100,30.00
1695050561297,100,29.91
1695050563321,100,30.59
1695050565360,100,30.77
1695050567381,100,31.01
1695050569401,100,30.82
1695050571464,100,30.50
1695050573501,100,30.81
1695050575536,100,31.70
1695050577576,100,32.34
1695050579640,100,33.13
1695050581665,100,33.23
1695050583684,100,33.15
1695050585720,100,32.89
1695050587740,100,33.00
1695050589761,100,32.95
1695050591803,100,33.24
1695050593828,100,33.68
1695050595845,100,33.77
1695050597870,100,34.41
1695050599895,100,34.86
1695050601957,100,35.37
1695050603980,100,35.29
1695050605996,100,35.46
1695050608020,100,35.88
1695050610047,100,36.15
1695050612097,100,36.16
1695050614143,100,36.59
1695050616164,100,36.75
1695050618232,100,36.91
1695050620265,100,37.29
1695050622284,100,37.42
1695050624304,100,37.51
1695050626328,100,37.25
1695050628357,100,37.45
1695050630383,100,37.53
1695050632401,100,37.73
1695050634429,100,37.59
1695050636484,100,37.32
1695050638505,100,37.79
1695050640551,100,37.90
1695050642670,100,38.22
1695050644693,100,38.27
1695050646713,100,38.48
1695050648729,100,38.55
1695050650813,100,38.88
1695050652831,100,39.03
1695050654852,100,39.03
1695050656876,100,39.41
1695050658904,100,39.94
1695050660948,100,40.24
1695050662972,100,40.36
1695050664989,100,40.44
1695050667020,100,40.81
1695050669052,100,41.22
1695050671125,100,41.49
1695050673148,100,41.55
1695050675192,100,41.56
1695050677213,100,41.71
1695050679244,99.94,42.04
1695050681276,100,42.12
1695050683359,100,42.19
1695050685388,100,42.38
1695050687427,100,42.35
1695050689468,100,42.87
