unix_time,cpu_percent,ram_percent
1695042130148,10.44,40.96
1695042132177,54.69,41.06
1695042134195,99.88,41.24
1695042136216,98.88,41.18
1695042138258,98.75,41.21
1695042140302,98.81,41.17
1695042142330,99.13,41.19
1695042144362,99.5,41.21
1695042146428,99.69,41.16
1695042148451,99.5,41.22
1695042150490,99.31,41.19
1695042152512,99.75,41.18
1695042154538,99.13,41.22
1695042156566,100,41.20
1695042158606,99,41.14
1695042160634,99.31,41.16
1695042162670,98.87,41.20
1695042164692,98.88,41.17
1695042166718,99.69,41.23
1695042168751,99.12,41.19
1695042170778,99.13,41.20
1695042172866,99.31,41.22
1695042174898,98.93,41.24
1695042176934,99.13,41.20
1695042178955,99.5,41.25
1695042180991,98.75,41.22
1695042183017,99.18,41.24
1695042185042,99.44,41.28
1695042187074,99.31,41.25
1695042189140,99.12,41.26
1695042191165,98.94,41.28
1695042193194,98.56,41.29
1695042195215,99.06,41.27
1695042197278,99.12,41.20
1695042199310,98.19,41.29
1695042201337,99.44,41.29
1695042203359,98.69,41.31
1695042205390,98.75,41.21
1695042207422,99.06,41.26
1695042209447,98.44,41.25
1695042211474,99.06,41.33
1695042213506,99.06,41.25
1695042215534,99.63,41.21
1695042217555,99.69,41.28
1695042219577,98.62,41.28
1695042221598,98.69,41.31
1695042223626,98.62,41.28
1695042225654,98.56,41.29
1695042227698,98.38,41.28
1695042229734,98.75,41.33
1695042231763,99.5,41.36
1695042233854,98.06,41.30
1695042235878,99.56,41.30
1695042237910,99.25,41.35
1695042239955,98.75,41.36
1695042241979,99.5,41.35
1695042243995,98.38,41.33
1695042246034,99.94,41.32
1695042248066,99.69,41.36
1695042250095,99,41.33
1695042252122,99.81,41.36
1695042254192,99.25,41.34
1695042256214,98.68,41.35
1695042258246,99.5,41.31
1695042260335,99.06,41.29
1695042262395,98.94,41.34
1695042264419,99.06,41.38
1695042266454,99.75,41.39
1695042268486,99.44,41.40
1695042270510,99.63,41.35
1695042272539,99.19,41.36
1695042274570,99.5,41.42
1695042276598,99.88,41.32
1695042278622,99.87,41.40
1695042280651,99.5,41.40
1695042282747,98.81,41.46
1695042284774,99.62,41.48
1695042286799,99.44,41.43
1695042288827,99.12,41.41
1695042290850,99.38,41.52
1695042292871,99.25,41.48
1695042294903,99.56,41.52
1695042296991,99.31,41.47
1695042299017,99.44,41.52
1695042301036,98.93,41.50
1695042303071,99.13,41.53
1695042305090,100,41.55
1695042307116,99.06,41.55
1695042309135,99.38,41.54
1695042311159,99.31,41.61
1695042313186,98.32,41.51
1695042315214,99.62,41.68
1695042317238,99.94,41.61
1695042319266,99.31,41.58
1695042321283,99.13,41.63
1695042323306,99.06,41.64
1695042325334,99.5,41.70
1695042327362,99.69,41.67
1695042329390,99.12,41.64
1695042331421,99.44,41.66
1695042333454,99.31,41.62
1695042335479,99.44,41.77
1695042337510,100,41.69
1695042339562,99.07,41.67
1695042341594,99.69,41.72
1695042343652,98.75,41.67
1695042345698,100,41.78
1695042347722,99.62,41.75
1695042349800,99.06,41.73
1695042351830,99,41.71
1695042353854,99.25,41.74
1695042355959,99.94,41.81
1695042357998,99.5,41.83
1695042360015,99.44,41.79
1695042362039,99.31,41.82
1695042364082,99.06,41.83
1695042366103,100,41.93
1695042368131,99.94,41.79
1695042370178,99.25,41.81
1695042372210,98.81,41.91
1695042374229,99.06,41.84
1695042376278,100,41.96
1695042378303,99.13,41.90
1695042380331,100,43.27
1695042382367,99.81,44.85
1695042384413,99.94,46.71
1695042386492,100,48.55
1695042388523,100,49.97
1695042390554,100,51.27
1695042392584,100,52.65
1695042394615,100,54.16
1695042396653,99.94,55.55
1695042398710,100,56.81
1695042400748,99.94,58.17
1695042402782,100,59.55
1695042404808,100,61.24
1695042406845,99.94,62.60
1695042408893,99.88,63.99
1695042410922,100,65.35
1695042412957,99.94,66.67
1695042415021,100,68.22
1695042417061,100,69.60
1695042419127,99.94,70.96
1695042421159,100,72.36
1695042423196,99.94,73.81
1695042425232,100,75.39
1695042427260,99.87,76.78
1695042429353,100,77.94
1695042431385,99.88,79.30
1695042433473,99.94,80.58
1695042435508,100,81.95
1695042437535,100,83.36
1695042439570,99.94,84.71
1695042441607,99.94,76.46
1695042443643,99.94,42.09
1695042445678,99.88,42.13
1695042447703,99.88,42.11
1695042449747,99.44,42.07
1695042451778,99.06,42.11
1695042453810,99.12,42.11
1695042455835,100,42.28
1695042457851,99.81,42.11
1695042459875,98.94,42.13
1695042461898,99.12,42.15
1695042463927,97.31,42.19
1695042465950,99.87,42.25
1695042468007,99.69,42.23
1695042470039,97.62,42.18
1695042472062,98.38,42.17
1695042474094,98.5,42.17
1695042476111,100,42.39
1695042478154,100,42.43
1695042480207,100,42.92
1695042482242,100,42.20
1695042484267,100,42.18
1695042486299,100,42.48
1695042488319,100,42.81
1695042490346,100,43.20
1695042492371,100,43.99
1695042494398,100,44.52
1695042496419,100,44.94
1695042498479,100,45.03
1695042500502,100,45.87
1695042502515,100,46.61
1695042504548,100,47.26
1695042506574,100,48.28
1695042508595,100,48.84
1695042510625,100,49.27
1695042512648,100,49.45
1695042514667,100,49.69
1695042516691,100,49.42
1695042518748,100,48.73
1695042520767,100,48.16
1695042522786,100,48.08
1695042524811,100,49.05
1695042526842,100,49.95
1695042528902,100,49.17
1695042530932,100,49.36
1695042532954,100,49.84
1695042534982,100,50.08
1695042537017,100,50.07
1695042539042,100,49.89
1695042541076,100,49.96
1695042543123,100,50.05
1695042545147,100,49.97
1695042547198,100,49.82
1695042549219,100,49.81
1695042551251,100,49.90
1695042553307,100,49.89
1695042555330,100,49.35
1695042557376,100,50.11
1695042559414,100,50.20
1695042561476,100,49.69
1695042563534,100,49.80
1695042565562,100,49.39
1695042567584,100,49.74
1695042569642,100,49.36
1695042571663,100,49.34
1695042573686,100,49.11
1695042575711,100,49.61
1695042577739,100,49.80
1695042579758,100,49.86
1695042581787,100,48.40
1695042583811,100,48.79
1695042585834,100,48.75
1695042587866,100,49.09
1695042589906,100,49.28
1695042591930,100,48.64
1695042593954,100,49.45
1695042595975,100,50.79
1695042598002,100,51.01
1695042600022,100,50.57
1695042602095,100,49.53
1695042604146,100,49.48
1695042606171,100,49.57
1695042608187,100,50.10
1695042610224,100,50.45
1695042612243,100,51.24
1695042614270,100,51.67
1695042616290,100,52.22
1695042618311,100,52.03
1695042620375,100,52.67
1695042622435,100,52.56
1695042624466,100,52.56
1695042626491,100,53.06
1695042628516,100,52.94
1695042630590,100,53.11
1695042632618,100,53.48
1695042634641,100,52.99
1695042636694,100,53.38
1695042638714,100,53.60
1695042640739,100,53.51
1695042642759,100,53.41
1695042644775,100,53.45
1695042646795,100,52.97
1695042648811,100,53.43
1695042650831,100,53.86
1695042652855,100,54.01
1695042654879,100,53.73
1695042656902,100,53.06
1695042658917,100,53.07
1695042660931,100,52.71
1695042662954,100,52.82
1695042664978,100,54.10
1695042667052,100,54.58
1695042669098,100,54.69
1695042671119,100,54.74
1695042673171,100,53.83
1695042675203,100,53.43
1695042677231,100,52.90
1695042679251,100,52.61
1695042681288,99.94,52.11
1695042683312,100,52.33
1695042685340,100,52.58
1695042687371,100,53.32
1695042689424,100,53.54
1695042691443,100,53.71
1695042693503,100,53.86
1695042695527,100,54.25
1695042697546,100,54.46
1695042699579,100,54.79
1695042701634,100,55.33
1695042703682,99.94,55.58
1695042705703,100,55.75
1695042707722,100,54.52
1695042709762,100,53.00
1695042711786,100,52.96
1695042713841,100,53.61
1695042715862,100,54.05
1695042717926,100,54.90
1695042719959,100,55.10
1695042722072,100,54.95
1695042724088,100,55.13
1695042726119,99.94,55.32
1695042728163,99.94,55.14
1695042730212,100,55.83
1695042732238,100,55.33
1695042734260,100,53.04
1695042736279,100,52.65
1695042738299,100,52.95
1695042740323,100,54.23
1695042742343,100,55.57
1695042744371,100,53.81
1695042746388,100,53.75
1695042748411,99.94,53.46
1695042750442,100,52.79
1695042752463,100,54.64
1695042754485,100,53.06
1695042756507,100,52.73
1695042758527,100,52.38
1695042760547,100,52.53
1695042762576,100,52.69
1695042764595,100,53.28
1695042766630,100,52.98
1695042768651,100,53.51
1695042770674,100,54.50
1695042772696,100,54.27
1695042774723,100,53.82
1695042776746,100,53.04
1695042778772,99.94,53.09
1695042780791,100,52.89
1695042782810,100,52.07
1695042784831,100,52.25
1695042786851,100,52.06
1695042788872,100,51.85
1695042790910,100,51.92
1695042792937,100,52.18
1695042794959,100,52.13
1695042796984,100,51.05
1695042799005,100,49.84
1695042801026,100,50.65
1695042803050,100,48.73
1695042805076,100,48.42
1695042807099,100,48.90
1695042809115,100,48.53
1695042811139,100,49.94
1695042813185,100,50.81
1695042815207,100,51.24
1695042817241,100,51.01
1695042819273,100,51.91
1695042821295,100,51.09
1695042823325,100,49.55
1695042825347,100,48.57
1695042827374,100,48.24
1695042829396,100,48.16
1695042831418,100,48.80
1695042833487,99.94,47.44
1695042835510,100,47.27
1695042837532,100,46.84
1695042839578,100,47.76
1695042841614,100,47.42
1695042843635,100,47.76
1695042845658,100,48.38
1695042847679,100,49.51
1695042849695,100,49.69
1695042851719,100,49.55
1695042853751,100,50.19
1695042855772,100,50.69
1695042857794,100,48.94
1695042859819,100,49.73
1695042861840,100,48.36
1695042863865,100,48.63
1695042865908,100,47.90
1695042867931,100,48.20
1695042869947,100,47.59
1695042871990,100,47.70
1695042874012,100,48.05
1695042876081,100,49.27
1695042878134,100,48.26
1695042880155,100,49.14
1695042882179,100,48.03
1695042884207,100,49.63
1695042886235,100,50.80
1695042888255,100,50.04
1695042890279,100,51.22
1695042892325,99.94,50.36
1695042894344,100,51.61
1695042896367,100,51.38
1695042898397,100,51.72
1695042900419,100,51.13
1695042902446,100,49.18
1695042904474,100,48.17
1695042906495,100,48.82
1695042908527,100,49.27
1695042910547,100,49.48
1695042912570,100,49.80
1695042914591,100,48.10
1695042916608,99.94,48.96
1695042918631,100,50.14
1695042920648,100,50.52
1695042922678,100,51.10
1695042924706,100,50.76
1695042926729,100,51.93
1695042928751,100,52.00
1695042930770,100,52.92
1695042932787,100,52.75
1695042934803,100,52.15
1695042936822,100,50.10
1695042938839,100,50.15
1695042940883,100,50.24
1695042942906,100,50.10
1695042944931,100,49.55
1695042947022,100,48.98
1695042949039,100,47.63
1695042951060,100,48.79
1695042953120,100,49.78
1695042955144,100,50.37
1695042957163,100,50.05
1695042959186,100,49.45
1695042961212,100,50.45
1695042963236,100,51.31
1695042965255,100,51.76
1695042967274,100,52.35
1695042969295,100,50.81
1695042971318,100,50.73
1695042973342,99.94,50.19
1695042975368,100,51.41
1695042977391,100,51.69
1695042979414,100,50.51
1695042981442,100,49.05
1695042983468,100,49.39
1695042985487,100,49.45
1695042987512,100,49.34
1695042989539,100,49.23
1695042991566,100,48.89
1695042993603,100,48.21
1695042995628,100,49.34
1695042997650,100,50.44
1695042999675,100,51.41
1695043001703,99.94,52.03
1695043003732,100,53.52
1695043005755,100,52.27
1695043007775,100,53.29
1695043009806,100,52.49
1695043011827,100,51.44
1695043013848,100,50.71
1695043015884,100,51.75
1695043017903,100,51.71
1695043019923,99.94,51.51
1695043021972,100,50.92
