unix_time,cpu_percent,ram_percent
1695122690544,7.85,10.96
1695122692555,62.14,11.03
1695122694580,95.31,11.09
1695122696608,91.36,11.06
1695122698629,89.86,11.08
1695122700643,89.86,11.09
1695122702745,91.3,11.07
1695122704768,91.91,11.05
1695122706830,90.48,11.08
1695122708844,91.74,11.06
1695122710863,91.34,11.08
1695122712921,90.68,11.04
1695122714937,92.31,11.07
1695122716953,91.51,11.09
1695122718992,90.98,11.08
1695122721017,90.98,11.08
1695122723040,96.43,11.07
1695122725072,90.23,11.08
1695122727097,91.02,11.08
1695122729128,90.99,11.07
1695122731139,90.27,11.08
1695122733162,91.99,11.09
1695122735196,91.47,11.12
1695122737224,90.67,11.08
1695122739241,91.85,11.06
1695122741264,89.52,11.08
1695122743329,89.54,11.10
1695122745342,90.38,11.11
1695122747368,90.08,11.09
1695122749396,88.85,11.10
1695122751434,89.88,11.10
1695122753445,93.99,11.11
1695122755472,87.38,11.11
1695122757504,89.24,11.11
1695122759526,89.96,11.11
1695122761537,87.19,11.15
1695122763553,88.62,11.15
1695122765580,88.9,11.12
1695122767601,89.06,11.17
1695122769628,86.45,11.17
1695122771648,89.32,11.16
1695122773733,89.77,11.17
1695122775752,85.54,11.13
1695122777792,89.91,11.15
1695122779810,89.17,11.12
1695122781832,88.36,11.17
1695122783896,92.79,11.14
1695122785920,91.68,11.19
1695122787937,89.43,11.19
1695122789957,89.73,11.17
1695122791985,93.03,11.17
1695122794009,89.99,11.18
1695122796034,90.29,11.18
1695122798056,91.44,11.17
1695122800084,91.57,11.15
1695122802113,90.66,11.17
1695122804133,91.56,11.16
1695122806152,90.74,11.17
1695122808200,90.91,11.16
1695122810224,91.91,11.16
1695122812244,92.52,11.18
1695122814272,90.57,11.19
1695122816297,90.73,11.19
1695122818321,89.23,11.19
1695122820335,89.79,11.18
1695122822352,89.79,11.19
1695122824384,92.05,11.19
1695122826404,89.66,11.18
1695122828476,89.17,11.21
1695122830513,89.15,11.20
1695122832536,89.91,11.16
1695122834572,88.46,11.17
1695122836601,90.4,11.19
1695122838633,91.53,11.22
1695122840660,90.9,11.20
1695122842743,94.49,11.18
1695122844768,93.57,11.19
1695122846796,88.71,11.18
1695122848828,89.36,11.19
1695122850848,92.24,11.19
1695122852876,89.88,11.19
1695122854905,91.34,11.17
1695122856943,90.73,11.20
1695122858976,90.38,11.21
1695122861004,92.1,11.21
1695122863025,90.56,11.18
1695122865036,91.89,11.20
1695122867060,91.25,11.21
1695122869096,90.65,11.22
1695122871120,89.58,11.19
1695122873137,94.62,11.20
1695122875177,95.74,11.27
1695122877236,95.24,11.21
1695122879262,88.89,11.20
1695122881297,90.06,11.21
1695122883324,90.89,11.20
1695122885352,93.35,11.22
1695122887374,92.68,11.21
1695122889408,90.02,11.23
1695122891428,86.8,11.22
1695122893439,88.54,11.22
1695122895460,95.39,11.24
1695122897496,91.9,11.23
1695122899528,90.2,11.23
1695122901549,91.85,11.22
1695122903620,93.88,11.23
1695122905635,97.49,11.25
1695122907660,93.17,11.26
1695122909679,91.7,11.26
1695122911704,91.92,11.27
1695122913761,89.18,11.26
1695122915796,96.82,11.27
1695122917821,93.74,11.22
1695122919837,91.26,11.27
1695122921865,87.68,11.25
1695122923900,91.5,11.26
1695122925922,96.63,11.28
1695122927942,89.39,11.28
1695122929973,88.94,11.27
1695122932000,92.09,11.24
1695122934028,90.19,11.34
1695122936052,95.86,11.29
1695122938077,91.93,11.27
1695122940100,88.63,11.30
1695122942124,89.18,11.30
1695122944156,93.05,11.34
1695122946178,97.93,11.31
1695122948200,91.27,11.33
1695122950232,90.29,11.30
1695122952248,93.3,11.32
1695122954272,93,11.36
1695122956301,97.5,11.33
1695122958328,90.86,11.32
1695122960349,90.78,11.30
1695122962376,93.96,11.32
1695122964401,95.54,11.41
1695122966478,96.81,11.29
1695122968512,92.76,11.32
1695122970532,91.59,11.35
1695122972564,90.16,11.35
1695122974629,94.37,11.38
1695122976648,97.06,11.35
1695122978712,90.53,11.34
1695122980757,93.03,11.35
1695122982784,92.04,11.31
1695122984816,93.79,11.42
1695122986848,94.75,11.33
1695122988880,92.09,11.34
1695122990912,89.02,11.34
1695122992960,93.28,11.36
1695122994997,95.24,11.40
1695122997037,94.3,11.33
1695122999063,88.28,11.36
1695123001135,90.56,11.35
1695123003155,89.16,11.36
1695123005180,91.62,11.39
1695123007205,94.65,11.35
1695123009225,90.99,11.36
1695123011237,89.84,11.32
1695123013256,90.62,11.34
1695123015288,97.31,11.37
1695123017350,94.29,11.39
1695123019374,90.21,11.35
1695123021404,89.81,11.35
1695123023432,94.57,11.34
1695123025460,94.11,11.38
1695123027487,94.8,11.34
1695123029524,90.32,11.33
1695123031570,89.01,11.32
1695123033597,92.74,11.37
1695123035613,98.5,11.47
1695123037660,99.44,11.49
1695123039688,92.83,11.40
1695123041732,90.21,11.44
1695123043764,89.58,11.43
1695123045802,99.94,11.58
1695123047832,100,11.66
1695123049860,100,11.82
1695123051880,100,11.65
1695123053906,93.16,11.67
1695123055932,99.81,11.86
1695123058002,100,12.15
1695123060049,100,12.26
1695123062100,100,12.21
1695123064123,99.44,12.02
1695123066145,100,12.24
1695123068169,100,12.38
1695123070221,100,12.49
1695123072245,100,12.36
1695123074285,98.12,12.30
1695123076313,100,12.43
1695123078349,100,12.44
1695123080374,100,12.64
1695123082389,99.87,12.43
1695123084420,94.63,12.54
1695123086488,99.94,12.61
1695123088524,100,12.63
1695123090587,100,12.87
1695123092649,100,12.88
1695123094672,100,12.88
1695123096732,100,12.88
1695123098757,100,13.11
1695123100777,100,13.29
1695123102825,100,13.21
1695123104861,100,13.21
1695123106888,100,13.10
1695123108916,100,13.19
1695123110941,100,13.34
1695123112998,100,13.39
1695123115020,100,13.46
1695123117048,100,13.34
1695123119096,100,13.23
1695123121114,100,13.32
1695123123156,100,13.67
1695123125204,100,13.54
1695123127230,100,13.56
1695123129252,100,13.63
1695123131289,100,13.71
1695123133360,100,13.77
1695123135387,100,13.70
1695123137420,100,13.66
1695123139444,100,13.71
1695123141504,100,13.77
1695123143527,100,13.71
1695123145549,100,13.82
1695123147572,100,13.87
1695123149604,100,13.87
1695123151640,100,14.02
1695123153664,100,14.07
1695123155701,100,14.11
1695123157727,100,14.00
1695123159752,100,13.87
1695123161820,100,13.83
1695123163860,100,13.76
1695123165916,100,14.06
1695123167960,100,14.15
1695123169996,100,14.25
1695123172028,100,14.15
1695123174079,100,14.24
1695123176105,100,14.22
1695123178136,100,14.18
1695123180225,100,14.14
1695123182248,100,14.10
1695123184270,100,14.10
1695123186292,100,14.11
1695123188311,100,14.24
1695123190344,100,14.31
1695123192393,100,14.32
1695123194445,100,14.24
1695123196477,100,14.21
1695123198513,100,14.29
1695123200534,100,14.39
