unix_time,cpu_percent,ram_percent
1695112816510,42.4,9.14
1695112818524,41.16,9.18
1695112820539,42.02,9.25
1695112822581,41.36,9.30
1695112824594,41.12,9.36
1695112826608,41.06,9.39
1695112828621,39.58,9.43
1695112830634,41.66,9.51
1695112832647,43.5,9.53
1695112834660,41.17,9.59
1695112836673,41.46,9.61
1695112838688,41.02,9.65
1695112840702,41.09,9.70
1695112842714,41.41,9.77
1695112844727,40.79,9.74
1695112846740,40.61,9.80
1695112848755,41.53,9.83
1695112850768,41.83,9.90
1695112852782,40.99,9.93
1695112854795,41.37,9.98
1695112856808,40.72,10.01
1695112858821,42.03,10.06
1695112860835,41.56,10.07
1695112862848,44.53,10.15
1695112864862,40.9,10.18
1695112866887,43,10.15
1695112868900,41.14,10.21
1695112870913,41.9,10.22
1695112872925,41.84,10.24
1695112874936,41.28,10.27
1695112876950,42.09,10.25
1695112878963,42.33,10.31
1695112880978,41.84,10.31
1695112882999,41.76,10.39
1695112885033,40.18,10.38
1695112887046,40.66,10.46
1695112889057,42.25,10.43
1695112891070,41.08,10.39
1695112893084,44.15,10.43
1695112895097,41.54,10.46
1695112897110,41.61,10.51
1695112899122,42.23,10.50
1695112901136,41.37,10.53
1695112903151,41.7,10.49
1695112905165,42.05,10.50
1695112907177,40.86,10.54
1695112909190,43.62,10.55
1695112911204,40.57,10.58
1695112913218,41.26,10.55
1695112915230,41.63,10.61
1695112917243,42.79,10.65
1695112919257,42.26,10.65
1695112921272,41.12,10.64
1695112923285,45.36,10.63
1695112925298,41.6,10.68
1695112927311,40.86,10.66
1695112929323,41.29,10.67
1695112931336,42.21,10.68
1695112933348,26.41,10.56
1695112935359,21.38,10.58
