unix_time,cpu_percent,ram_percent
1694792374381,16,53.25
1694792376395,14,53.24
1694792378409,13,53.17
1694792380425,19,52.99
1694792382433,27,53.36
1694792384446,18,53.55
1694792386460,18,53.61
1694792388475,20,53.76
1694792390490,14,53.73
1694792392505,14,53.62
1694792394520,25,53.72
1694792396537,18,53.81
1694792398550,12,53.66
1694792400565,9,53.51
1694792402579,10,53.42
1694792404587,12,53.57
1694792406599,16,53.62
1694792408613,6,53.65
1694792410625,6,53.64
1694792412635,13,53.69
1694792414649,23,53.77
1694792416664,24,53.92
1694792418672,16,53.88
1694792420685,13,53.92
1694792422693,24,53.71
1694792424706,17,53.65
1694792426720,13,53.93
1694792428731,16,53.82
1694792430744,7,53.94
1694792432759,9,54.07
1694792434767,8,54.05
1694792436780,12,53.84
1694792438791,16,53.71
1694792440803,16,53.75
