unix_time,cpu_percent,ram_percent
1695116578352,6.6,10.94
1695116580364,15.26,11.02
1695116582375,84.97,10.98
1695116584393,96.23,11.03
1695116586429,90.12,11.07
1695116588440,89.52,11.10
1695116590464,91.32,11.08
1695116592489,90.69,11.07
1695116594524,89.25,11.08
1695116596537,93.87,11.05
1695116598555,90.58,11.10
1695116600592,89.23,11.07
1695116602620,90.94,11.07
1695116604633,88.55,11.10
1695116606656,88.86,11.10
1695116608730,89.25,11.11
1695116610745,89.8,11.11
1695116612772,87.97,11.08
1695116614812,88.83,11.08
1695116616830,88.96,11.10
1695116618841,90.12,11.09
1695116620857,89.89,11.11
1695116622888,90.48,11.09
1695116624911,91.25,11.14
1695116626932,93.44,11.07
1695116628949,90.98,11.09
1695116630977,92.08,11.14
1695116633011,90.31,11.13
1695116635029,91.08,11.10
1695116637048,90.8,11.13
1695116639073,89.31,11.12
1695116641093,92.55,11.13
1695116643124,90.64,11.12
1695116645141,90.57,11.13
1695116647164,92.17,11.14
1695116649232,90.98,11.15
1695116651259,89.48,11.13
1695116653337,91.65,11.13
1695116655384,94.36,11.16
1695116657409,92.5,11.18
1695116659449,89.66,11.17
1695116661517,90.23,11.18
1695116663530,90.18,11.20
1695116665561,88.49,11.17
1695116667616,89.67,11.18
1695116669633,89.29,11.20
1695116671652,88.42,11.19
1695116673718,89.22,11.20
1695116675734,89.92,11.18
1695116677749,89.01,11.21
1695116679773,89.03,11.19
1695116681800,91.1,11.23
1695116683824,90.53,11.19
1695116685856,93.44,11.21
1695116687886,93.05,11.18
1695116689918,90.08,11.21
1695116691957,90.21,11.19
1695116693985,91.7,11.22
1695116696013,90.93,11.22
1695116698044,89.22,11.21
1695116700073,92.87,11.21
1695116702102,92.23,11.18
1695116704133,89.4,11.20
1695116706170,92.92,11.20
1695116708248,91.81,11.18
1695116710273,89.25,11.21
1695116712364,91.15,11.20
1695116714396,90.86,11.18
1695116716428,94.03,11.22
1695116718446,90.13,11.20
1695116720469,93.47,11.18
1695116722496,91.41,11.21
1695116724521,90.25,11.21
1695116726542,92.1,11.18
1695116728572,91.32,11.18
1695116730652,90.59,11.20
1695116732676,90.24,11.21
1695116734708,91.81,11.21
1695116736738,90.46,11.20
1695116738756,92.24,11.18
1695116740789,91.38,11.21
1695116742820,90.39,11.20
1695116744834,93.17,11.16
1695116746849,93.19,11.20
1695116748892,90.66,11.19
1695116750919,91.48,11.20
1695116752960,92.26,11.18
1695116754985,92.28,11.21
1695116757036,91.3,11.24
1695116759056,91.92,11.23
1695116761088,90.42,11.21
1695116763132,90.43,11.21
1695116765172,95.17,11.28
1695116767244,95.68,11.21
1695116769284,88.99,11.22
1695116771320,91.8,11.21
1695116773341,89.19,11.23
1695116775372,92.49,11.29
1695116777397,97.81,11.23
1695116779420,92.34,11.24
1695116781452,89.18,11.26
1695116783516,91.83,11.20
1695116785537,97.37,11.29
1695116787568,94.98,11.21
1695116789600,91.08,11.23
1695116791625,93.28,11.24
1695116793641,90.74,11.26
1695116795669,96.01,11.32
1695116797704,95.98,11.24
1695116799733,91.74,11.28
1695116801746,92.48,11.27
1695116803780,92.32,11.27
1695116805801,97.18,11.31
1695116807853,97.43,11.25
1695116809873,91.68,11.29
1695116811968,91.35,11.29
1695116813993,92.61,11.29
1695116816029,97.38,11.33
1695116818082,91.1,11.32
1695116820138,91.01,11.31
1695116822172,91.96,11.30
1695116824231,89.84,11.31
1695116826264,98.44,11.36
1695116828300,93.3,11.31
1695116830328,90.77,11.33
1695116832365,89.94,11.32
