unix_time,cpu_percent,ram_percent
1694890877699,23.86,22.73
1694890879714,24.13,22.74
1694890881729,21.97,22.69
1694890883741,34.78,22.73
1694890885753,24.47,22.72
1694890887765,23.27,22.76
1694890889776,25.42,22.72
1694890891788,43.36,22.86
1694890893802,63.35,22.95
1694890895815,48.24,23.32
1694890897830,60.49,23.29
1694890899844,48.33,23.45
1694890901866,66.12,23.66
1694890903878,35.47,23.74
1694890905890,48.55,23.86
1694890907902,36.08,23.96
1694890909914,35.56,24.02
1694890911925,37.94,24.13
1694890913937,30.18,24.16
1694890915948,35.39,24.35
1694890917962,33.46,24.33
1694890919974,33.63,24.41
1694890921986,54.68,24.51
1694890924000,55.14,24.73
1694890926043,65.34,24.83
1694890928054,43.85,25.01
1694890930069,32.24,25.05
1694890932081,47.02,25.11
1694890934093,32.43,25.23
1694890936105,33.1,25.25
1694890938117,23.6,25.24
1694890940130,22.65,25.28
1694890942144,23.5,25.21
1694890944155,23.02,25.22
1694890946167,57.87,25.41
1694890948223,53.07,25.56
1694890950245,61.76,25.71
1694890952258,44.75,25.79
1694890954270,59.61,25.89
1694890956281,34.65,25.87
1694890958293,58.94,26.08
1694890960331,67.91,26.23
1694890962345,63.07,26.36
1694890964367,54.2,26.37
1694890966380,33.31,26.46
1694890968392,37.68,26.58
1694890970404,30.15,26.56
1694890972415,33.42,26.66
1694890974444,33.25,26.73
1694890976456,47.54,26.88
1694890978477,62.02,27.00
1694890980494,58.14,27.07
1694890982508,36.73,27.08
1694890984519,33.74,27.14
1694890986531,31,27.26
1694890988543,31.18,27.34
1694890990589,32.47,27.41
1694890992613,32.49,27.51
1694890994624,32.92,27.55
1694890996635,29.26,27.59
1694890998646,36.42,27.62
1694891000657,32.49,27.59
1694891002668,32.11,27.59
1694891004680,29.59,27.64
1694891006692,46.02,27.59
1694891008705,35.11,27.65
1694891010716,41.59,27.64
1694891012728,21.23,27.65
1694891014747,21.64,27.66
1694891016761,23.11,27.65
1694891018772,23.47,27.60
1694891020783,22.98,27.61
1694891022795,20.01,27.66
1694891024806,22.94,27.62
1694891026818,23.4,27.65
1694891028829,27.24,27.62
1694891030841,20.19,27.66
1694891032882,21.14,27.64
