unix_time,cpu_percent,ram_percent
1694893184912,22.62,22.86
1694893186924,23.68,22.89
1694893188937,24.4,22.84
1694893190949,26.81,22.97
1694893192961,26.73,22.95
1694893194973,33.86,23.01
1694893196986,34.96,23.04
1694893198998,35.88,23.04
1694893201011,32.91,23.03
1694893203024,36.69,22.97
1694893205037,36.32,23.02
1694893207049,44.43,23.03
1694893209072,98.24,23.05
1694893211091,99.63,22.96
1694893213121,99.87,23.18
1694893215149,100,23.12
1694893217178,99.94,23.38
1694893219259,99.94,23.36
1694893221279,100,23.28
1694893223314,100,23.31
1694893225350,99.06,23.33
1694893227379,98.81,23.32
1694893229405,99.06,23.32
1694893231434,98.19,23.32
1694893233469,98.69,23.35
1694893235498,99.13,23.35
1694893237527,98.56,23.31
1694893239555,98.81,23.37
1694893241586,99.06,23.41
1694893243607,100,23.46
1694893245645,98.93,23.41
1694893247670,99.06,23.41
1694893249701,99.5,23.45
1694893251730,98.94,23.49
1694893253786,100,23.56
1694893255814,100,23.60
1694893257850,97.31,23.63
1694893259871,98.25,23.66
1694893261894,98.75,23.71
1694893263925,100,23.77
1694893265967,100,23.81
1694893267990,98.75,23.86
1694893270061,98.38,23.83
1694893272102,99.75,23.92
1694893274130,100,24.01
1694893276192,99.63,24.01
1694893278218,99.37,24.04
1694893280239,99.06,23.99
1694893282265,99.63,24.07
1694893284350,99.94,24.14
1694893286374,98.81,24.13
1694893288409,98.82,24.15
1694893290453,98.13,24.18
1694893292480,99.81,24.22
1694893294509,100,24.29
1694893296554,100,24.32
1694893298619,99.19,24.29
1694893300646,97.69,24.31
1694893302678,99.44,24.35
1694893304702,100,24.33
1694893306727,98.81,24.33
1694893308762,99.69,24.30
1694893310798,97.62,24.37
1694893312823,99.75,24.43
1694893314861,100,24.34
1694893316886,98.19,24.33
1694893318911,97.31,24.36
1694893320945,97.12,24.34
1694893322974,99.75,24.41
1694893324996,99.37,24.42
1694893327024,94.88,24.39
1694893329050,96.12,24.41
1694893331078,94.45,24.47
1694893333122,98.63,24.39
1694893335150,93.98,24.33
1694893337178,92.12,24.45
1694893339203,93.54,24.38
1694893341225,92.06,24.38
1694893343271,93.63,24.38
1694893345298,88.63,24.38
1694893347345,90.11,24.36
1694893349374,89.52,24.37
1694893351401,86.25,24.35
1694893353438,87.38,24.38
1694893355467,86.54,24.39
1694893357479,84.61,24.35
1694893359498,83.24,24.34
1694893361534,85.27,24.37
1694893363573,82.5,24.36
1694893365601,78.97,24.40
1694893367626,80.8,24.33
1694893369657,75.25,24.34
1694893371676,78.11,24.39
1694893373726,77.04,24.36
1694893375750,68.5,24.41
1694893377762,62.38,24.38
1694893379773,66.08,24.37
1694893381785,71.8,24.50
1694893383820,94.72,24.48
1694893385878,95.06,24.60
1694893387915,93.96,24.71
1694893389946,90.81,24.79
1694893391966,90.38,24.86
1694893393983,88.14,25.01
1694893396034,85.09,25.08
1694893398059,81.19,25.06
1694893400072,69.51,25.18
1694893402088,56.25,25.23
1694893404140,30.02,25.19
1694893406180,25.67,25.17
1694893408202,26.21,25.16
1694893410215,42.39,25.24
1694893412227,72.99,25.20
1694893414276,75.71,25.28
1694893416316,74.78,25.21
1694893418332,76.53,25.27
1694893420348,74.42,25.33
1694893422364,52.04,25.34
1694893424378,55.25,25.43
1694893426395,48.34,25.46
1694893428410,53.4,25.50
1694893430422,48.04,25.59
